* Funky input line bahážat	bahážat	+?
* Funky input line badjosat	i høyden	XXX
* Funky input line buotdin	kaikki tyynni	XXX
* Funky input line gas cō: puskii (koiralle) XXX
* Funky input line peaila	neljänneslitran mitta	XXX
* Funky input line preantár	kirjanpainaja	XXX
* Funky input line preanttidit	painaa (kirjoja)	XXX
sobahas	liha (esim. koiran kaluama)	N	+?
sobus	kaluttava liha (luussa)	N	+?
šođbbodit	tulla siro(mma)ksi	V	+?
šođbbut	siro ihminen tai esine	N	+?
soddi	heittonuoli& (jalkajousen) vasama& heittonuoli& (jalkajousen) vasama	N	+?
sodjagasas	painuksissa	Adv	Adv
sodjagassii	painuksiin	Adv	Adv
sodjalahttit	taivuttaa (äkkiä tai kerran)	V	+?
sodnjái	riippaoksainen& roikkuvavaatteinen& rimsuvaatteinen& riippaoksainen& roikkuvavaatteinen& rimsuvaatteinen& riippaoksainen& roikkuvavaatteinen& rimsuvaatteinen	+?	+?
sodnjánit	lähteä löntystämään	V	+?
sodnját	riippua (riippakoivun oksista)& seistä riippaoksaisena (riippakoivusta)& roikkua (vaatteista)& riippua (riippakoivun oksista)& seistä riippaoksaisena (riippakoivusta)& roikkua (vaatteista)& riippua (riippakoivun oksista)& seistä riippaoksaisena (riippakoivusta)& roikkua (vaatteista)	V	+?
sogaheapme	suvuton	A	+?
soggil	lähempää seinänviertä (ohi) (erit. kodassa)	Adv|Pr|Po	+?
sogŋostallat	olla kosija& kosiskella& olla kosija& kosiskella	V	+?
sohpasit	kaluuntua& soveltua kaluttavaksi& kaluuntua& soveltua kaluttavaksi	V	+?
sohti	rääsy	N	N
sohttet	saurata (heinää)& pinota (polttopuita erit. keilamaiseksi pinoksi)& saurata (heinää)& pinota (polttopuita erit. keilamaiseksi pinoksi)	V	+?
soidadit	laimentaa	V	V
soidnár	vitkuttelija	N	+?
sojaheapme	taipumaton	A	+?
sojaldahttit	taivuttaa (nopeasti tai kerran)	V	+?
šokčá	jäniksenansa	N	+?
sokkehas	mielellään (kodan) loukossa oleileva	N	+?
soktaluvvat	vaahtoutua	V	V
šolget	sulattaa (juoksevaksi)	V	+?
šolggiidit	sulaa (juoksevaksi)	V	+?
solodit	kaivella (hampaitaan)& puhdistaa hampaansa& kaivella (hampaitaan)& puhdistaa hampaansa	V	+?
solža	huhupuhe& jaaritus& huhupuhe& jaaritus	N	+?
šombbárastit	sössöttää	V	V
šombbár	sössöttäjä	N	N
šombbistit	sössöttää	V	V
so	niin	Adv	Adv& Pcle
sonjuhit	kulkea roikkuvissa vaatteissa	V	+?
sopmu	(ohut) sumu	N	+?
soradit	sotkeutua (esim. hihnaan tai toistensa hihnoihin)	V	+?
sordot	tulla sorretuksi& alistua& hävitä (oikeusjutussa)& tulla sorretuksi& alistua& hävitä (oikeusjutussa)& tulla sorretuksi& alistua& hävitä (oikeusjutussa)	V	+?
sorji	riippuva esine	N	+?
sorjjas	riippuva	A	A
sorpmálaš	hengenvaarallinen& tuhoisa& murhanhimoinen& hengenvaarallinen& tuhoisa& murhanhimoinen& hengenvaarallinen& tuhoisa& murhanhimoinen	+?	+?
sotkašuvvat	vaivaantua (taikinasta)& sekoittua (tasakoosteiseksi)& vaivaantua (taikinasta)& sekoittua (tasakoosteiseksi)	V	+?
sovkalit	kuiskata	V	V
sovkken	sokea	N	A& N
sovkkuhit	kuiskuttaa	V	V
spabbalit	imaista (piippua)	V	+?
spáđđa	lapio	N	N
spáđđá	pata (korttipelissä)	N	+?
spággudit	paikata (paikka paikan päälle)	V	+?
spággu	paikattu esine (jossa on paljon paikkoja)	N	+?
spahčalit	väristä (vähän aikaa)	V	+?
spahči	tutinasarvi (porosta)	N	+?
spáhkkalastit	paklata	V	V
spáiddar	soihtu	N	N
spáitet	ennättää (tehdä jtak)	V	+?
spáitit	tehota (ampuma-aseesta)	V	+?
spáitu	rauha (tehdä jtak)	N	+?
spalcadit	kastaa likomäräksi (nahkaesineestä)	V	+?
spalcat	kastua likomäräksi (nahkavaatteesta)	V	+?
spálčát	olla jssak karvattomiksi kuluneissa vaatteissaan	V	+?
spalccidit	kastaa likomäräksi (nahkaesineestä)& mutustaa (hampaattomalla suulla)& kastaa likomäräksi (nahkaesineestä)& mutustaa (hampaattomalla suulla)	V	+?
spálččildit	liikkua karvattomiksi kuluneissa vaatteissaan	V	+?
spálčudit	kuluttaa karvattomaksi& kuluttaa (maasto) paljaaksi& kuluttaa karvattomaksi& kuluttaa (maasto) paljaaksi	V	+?
spálčut	kulua karvattomaksi& kulua paljaaksi (maastosta)& kulua karvattomaksi& kulua paljaaksi (maastosta)	V	+?
spállái	puuskainen (tuulesta)	+?	+?
spálli	tuulenpuuska	N	N
spánas	höylänlastu (koipinahkojen kuivauksessa)	N	+?
spánastit	höylätä lastuja (koipinahkojen kuivausta varten)	V	+?
spanjahas	sälö (puuta halkaistessa syntynyt)	N	+?
spanuhit	kulkea solakkana ja vartalonmyötäisissä vaatteissa	V	+?
spanut	solakka ihminen (vartalonmyötäisissä vaatteissaan)	N	+?
spáret	säästää	V	V
spargalit	täräyttää	V	V
spargguhit	värisyttää	V	V
sparret	sitoa yhteen pareittain (ripustettavista kaloista tms.)	V	+?
sparrudit	olla jssak pareittain	V	+?
spártu	känsä& nänni& känsä& nänni	N	+?
spárvabeaŋka	sorvi	N	N
spárva-	sorvattu	+?	+?
spárvet	sorvata	V	V
spatni	kitakieleke	N	+?
spatnjasit	haljeta (taivutettaessa)	V	+?
spatnjat	haljeta (taivutettaessa)	V	+?
spatnjat	kimittää	V	V
spažuhit	kulkea pitkin ja värisevin sarvin (porosta)	V	+?
spažut	solakka ja tyylikkäästi pukeutunut mies	N	+?
speaččas	latuskainen (pystysuunnassa)& latuskarintainen& latuskainen (pystysuunnassa)& latuskarintainen	A|N	+?
speadjal	peili	N	N
spealastit	pelata (vähän)	V	+?
speallavearka	reunapitsi (naisenlakissa)	N	+?
speažžasit	läimähtää (yhteen)	V	+?
speažži	latuska	N	A
spellet	soittaa (soitinta)	V	+?
spiehkkasit	poiketa	V	V
spielastit	alkaa tuulla heikosti	V	+?
spiella	tuulenvire	N	N
spierru	kalaparvi (esim. seiparvi)	N	+?
spiertačáhppat	kullsvart XXX	A	+?
spihčá	piiska	N	N
spihkašuvvat	suolaantua (kuivaksi)	V	+?
spihket	suolata (kuivasuolaan)	V	+?
spihkodit	poukkoilla	V	V
spihtálaš	spitaalinen	N	A
spihtáldávda	spitaali	N	N
spihtálvuohta	spitaalisuus	N	+?
spiiddistit	kirvellä	V	V
spiidet	kirvellä	V	V
spiikkár	naula	N	N
spildarođas	uuden uutukainen	A	+?
spildar-	(yhdyssanassa spildarođas)	+?	+?
spildut	jäätyä (pinnalta& nesteestä)& mennä riitteeseen& jäätyä (pinnalta& nesteestä)& mennä riitteeseen& jäätyä (pinnalta& nesteestä)& mennä riitteeseen	V	+?
spinjaidit	kimittää	V	V
spoahttat	pilkata	V	V
spoatnut	paakkuuntua	V	V
spoavár	povari	N	N
spokkuhit	survaista (monta kertaa)& pistellä (puukolla)& survaista (monta kertaa)& pistellä (puukolla)	V	+?
spovet	povata	V	V
spulet	puolata	V	V
spuŋggas	pullottava& punkeromainen& pullottava& punkeromainen	A	+?
stáččas	(liian) matala (astiasta)	A	+?
stađahuvvat	tulla malttamattomaksi	V	+?
stađđat	malttaa	V	V
stáđđi	alasin	N	N
stađuhuvvat	tulla malttamattomaksi	V	+?
stáffu	valkama	N	N
stágget	harsia	V	V
stáhkká	(iso) heinäsuova	N	+?
stahkka	kimpale (lihaa tms.)	N	+?
stáhkkár	raukka	N	A
stáhpádit	tehdä (tynnyri tms.) kimmistä	V	+?
stáhppái	juovikas& jossa on paljon kimpiä (astiasta)& juovikas& jossa on paljon kimpiä (astiasta)	A	+?
stáhppet	tehdä raitoja (kutoessa)	V	+?
staigil	sävyisä	A	A
stáinnir	merikissa	N	N
stáippardit	tehdä jtak liian pitkällä esineellä (esim. sauvoimella)& sätkytellä (maassa)& tehdä jtak liian pitkällä esineellä (esim. sauvoimella)& sätkytellä (maassa)	V	+?
stáleheapme	teräksetön& jossa on vähän terästä& teräksetön& jossa on vähän terästä	A	+?
stálli	teräs	N	N
stálpái	jossa tai jolloin on paljon susia	+?	+?
stáluboska	stálọboska: karhunputki	+?	+?
stálubursa	tuhkelo	N	N
stánddaiduvvat	tulla kunnollise(mma)ksi (ihmisestä)	V	+?
stáŋget	teljetä (sisälle)	V	+?
stárrá	ruskolevä	N	N
stárret	kerätä ruskolevää	V	+?
stávet	tavata (kirjoitusta)	V	+?
stávráhit	koikkelehtia (jhonk)	V	+?
stávrras	pitkänhuiskea	A	A
stávrruhit	koikkelehtia	V	V
stávru	pitkäkoipi (ihmisestä)	N	+?
stávval	tavu	N	N
steaččas	litteä	A	A
steaččihit	lätkähtää	V	+?
steahčalahttit	heittää leipiä	V	+?
steaikabánno	paistinpannu	N	N
steaikalit	hurauttaa (esim. rinnettä tai koskea alas)	V	+?
steaikaoapman	paistinuuni	N	N
stealla	pyssyntuki (ammuttaessa)	N	+?
steamma	ääni (äänestyksessä)	N	+?
steampalastit	leimata	V	V
steampal	leima	N	N
steamput	tallustaa	V	V
steanžut	tallustaa	V	V
steažžalit	heittää leipiä (litteällä kivellä)	V	+?
steažžasit	litistyä	V	V
stellet	teline	V|N	N
stemmet	äänestää	V	V
steŋget	sulkea	V	V
stevdnet	haastaa (oikeuteen)	V	+?
stevnnet	haaste (oikeuteen)	N	+?
stielka	ruoti (esim. tupakanlehdessä)	N	+?
stihkádit	ommella kaatiot säpäkkeisiin	V	+?
stihká-	(pl.) kaatiot	+?	+?
stiivet	tärkätä	V	V
stirrát	tuijottaa	V	V
stivát	kinastella	V	V
stivli	masto	N	N
stivrejeaddji	perämies& kurinpitäjä& perämies& kurinpitäjä	N	+?
stivrraheapme	kuriton	A	+?
stivrrahuvvat	tulla kurittomaksi	V	+?
stivrrár	komentaja	N	N
stoagan	mekastaja	N	+?
stoagáskit	ruveta mekastamaan	V	+?
stoaljas	ääliömäinen& leväperäinen& ääliömäinen& leväperäinen	A	+?
stoavkit	maiskuttaa	V	V
stoavkkan	maiskuttelija	N	+?
stoavkkas	maiskutus	N	N
stoavkkuhit	maiskutella	V	V
stobe	purkki	N	N
stobostallat	leikkiä tuvan rakentamista	V	+?
stohččet	tehdä (tuolista tms.) kiikkerä	V	+?
stohkas	pökkelöitynyt (koivusta)	A	+?
stohkkádit	alkaa saada kesäpukunsa (riekosta alkukeväällä)	V	+?
stohkkái	jossa on paljon (koivun)pökkelöitä	+?	+?
stohkket	kerätä (koivun)pökkelöitä	V	+?
stohkket	sekoittaa (pelikortit)	V	+?
stohppádit	parsia	V	V
stohppet	parsia	V	V
stohppet	pysähtyä	V	V
storbmet	nostaa myrsky& hyökätä (jkn kimppuun)& nostaa myrsky& hyökätä (jkn kimppuun)	V	+?
stovla	tuoli& (pl.) (kangaspuiden) reidet& tuoli& (pl.) (kangaspuiden) reidet	N	+?
streaŋga	metallilanka	A|N	N
streaŋggár	ankara (ihminen)	+?	+?
sreaŋggár	ankara (ihminen)	+?	+?
streŋget	kovistella (ankarasti)	V	+?
stroaŋggis	ankara	A	A
strubistit	srubistit ’hörpätä’	V	+?
struhccaloddi	struhcca ’strutsi’	+?	+?
struhpat	hörppiä	V	V
stuđeret	opiskella& tutkiskella& opiskella& tutkiskella	V	+?
stukkis	inhottava	A	A
stuláskit	ruveta (toden teolla) leikkimään	V	+?
stulkkas	kookas	A	+?
stulljašuvvat	hämmentyä (sameaksi)	V	+?
stulljet	hämmentää (sameaksi)& ryöstökalastaa& hämmentää (sameaksi)& ryöstökalastaa	V	+?
stumpa	pitkäksi (ja korkeaksi) leivottu leipä	N	+?
stumpát	olla jssak pullukkana	V	+?
stumppas	pullea	A	A
stumppuhit	kävellä pullukkana	V	+?
stumpu	pullukka	N	A& N
stuorámus	suurin	+?	+?
stuorasoahttu	auma	N	N
stuorat	kookas ihminen tai eläin	A|N	+?
stuorračoavžžu	valkoviklo	N	N
stuorru	stuoru ’suuruinen’	+?	+?
sturji	sottapytty	N	N
stužaidit	loiskia	V	V
stužanas	loiskahdus	N	N
submi	summa	N	A& N
suddái	jossa on paljon sulia (esim. järven jäästä)	+?	+?
suđđašuvvat	hautua (pehmeäksi tai kypsäksi)& soveltua haudutettavaksi (pehmeäksi tai kypsäksi)& hautua (pehmeäksi tai kypsäksi)& soveltua haudutettavaksi (pehmeäksi tai kypsäksi)	V	+?
šuddidit	hälistä	V	V
šuddi	hälinä	N	N
suddil	(helposti) sulava	A	+?
suddi	sula& (päälaki)aukile& sula& (päälaki)aukile	N	+?
suđđit	hautoa (pehmeäksi tai kypsäksi)	V	+?
suddohit	aiheuttaa lumisokeus	V	+?
suđđot	hautua (pehmeäksi tai kypsäksi)	V	+?
suddudit	tehdä syntiä	V	+?
sudduduhttit	saada lankeamaan syntiin	V	+?
sudduduvvat	langeta syntiin	V	+?
suddugas	syntinen (subst.)	A	+?
suddu	synti& vahinko& synti& vahinko	N	+?
šuđgá	hätähousu	N	N
sudja	syy	N	N
sudnet	kiskoa suonia (poron jalasta)	V	+?
sudnjui	rimpinen	A	+?
sugahallat	soudatella& olla soutajana& kuljetella soutamalla& ajaa takaa soutamalla& keinutella& soudatella& olla soutajana& kuljetella soutamalla& ajaa takaa soutamalla& keinutella& soudatella& olla soutajana& kuljetella soutamalla& ajaa takaa soutamalla& keinutella& soudatella& olla soutajana& kuljetella soutamalla& ajaa takaa soutamalla& keinutella& soudatella& olla soutajana& kuljetella soutamalla& ajaa takaa soutamalla& keinutella	V	+?
sugahit	soudattaa& kuljettaa soutamalla& ajaa takaa soutamalla& soveltua soudettavaksi& keinuttaa& soudattaa& kuljettaa soutamalla& ajaa takaa soutamalla& soveltua soudettavaksi& keinuttaa& soudattaa& kuljettaa soutamalla& ajaa takaa soutamalla& soveltua soudettavaksi& keinuttaa& soudattaa& kuljettaa soutamalla& ajaa takaa soutamalla& soveltua soudettavaksi& keinuttaa& soudattaa& kuljettaa soutamalla& ajaa takaa soutamalla& soveltua soudettavaksi& keinuttaa	V	+?
suhččot	joutua (tekemään jtak)	V	+?
šuhči	kuura (puissa)	N	+?
suhkalit	lähteä soutamaan& soutaa vähän& käydä (jssak) soutamalla& keinahtaa& lähteä soutamaan& soutaa vähän& käydä (jssak) soutamalla& keinahtaa& lähteä soutamaan& soutaa vähän& käydä (jssak) soutamalla& keinahtaa& lähteä soutamaan& soutaa vähän& käydä (jssak) soutamalla& keinahtaa	V	+?
suhkkát	ruveta soutamaan	V	+?
suhkkol	sukkula	N	N
suhkkot	tulla soudetuksi (jhonk)	+?	+?
suhpi	haapa	N	N
suhppái	jossa kasvaa paljon haapoja	A	+?
suhtihit	suutahtaa	V	V
suhttadit	suututtaa	V	V
suidnet	heinittää (kenkä)& kerätä (ja muokata) kenkäheinää& heinittää (kenkä)& kerätä (ja muokata) kenkäheinää	V	+?
suittet	(pl.) suitset	N	+?
sujalaš	syyllinen& velallinen& syyllinen& velallinen	A	+?
suksii	huokoinen (sarven sisuksesta)	A	+?
sulin-	(pl.) ketunmyrkky	+?	+?
sulladallat	pysytellä porojen lähettyvillä	V	+?
sulolaš	suloinen	A	A
sulttas	jossa on paksu kerros rasvaa (hylkeestä)& pyylevä (naisesta)& jossa on paksu kerros rasvaa (hylkeestä)& pyylevä (naisesta)	A	+?
summá	summa	N	A& N
šumppihit	jysähtää	V	V
šumpu	jykevä esine	N	+?
sundi	kihlakunnantuomari& suntio& kihlakunnantuomari& suntio	N	+?
suođđadit	panna joku päästämään höyryä (esim. työtä teettämällä)	V	+?
suoddjái	suojaisa	A	A
suodjalit	suojella	V	V
šuodjá	paholainen	N	N
suodnái	jolla on paljon suonia (suonirihman valmistukseen)& suonikas& jolla on paljon suonia (suonirihman valmistukseen)& suonikas	A	+?
suoggat	kostautua	V	V
suohkadas	tiheikkö	N	N
šuohkanas	huokaus	N	N
suohkanastit	naarata	V	V
suohkan	naara	N	N
suohkan	pitäjä	N	N
šuohkas	huokailu	N	N
šuohkihit	huokaista	V	V
suohkkul	helposti sakeneva	A	+?
suohkulanmiessi	syysvasa (jonka karva on jo hieman tuuheampaa)	N	+?
suohpal	luuta	N	N
suohpanastit	käyttää suopunkia (jhonk)	V	+?
suohppá	vasansa hylkäävä vaadin	N	+?
suohtta	(vaikea) sairaus	N	+?
suoibánit	horjahdella (tiehensä)	V	+?
suoibma-	(yhdyssanassa suoibmasodju)	+?	+?
suoidnái	heinäinen	+?	A
suoimmal	loivasti	Adv	Adv
suoivvanas	häilähdys	N	N
suoivva	varjo	N	N
suoivvihit	häilähtää	V	V
suojásmit	tulla suojaisammaksi	+?	+?
suojásmuvvat	tulla suojaisammaksi	V	+?
šuokkas	ristiluun ja alimman lannenikaman välissä oleva välilevy	N	+?
suoksái	jossa on paljon toukkia (lihasta)	A	+?
suoládahkes	varastelevainen	A	+?
suolavuohta	varasteluhalu& varkaus& varasteluhalu& varkaus	N	+?
suoldnái	kasteinen& usvainen& kasteinen& usvainen	+?	+?
suoldni	kaste& usva (kesällä veden päällä)& halla& kaste& usva (kesällä veden päällä)& halla& kaste& usva (kesällä veden päällä)& halla	N	+?
suoldnudit	tehdä kasteiseksi	V	+?
suoldnut	tulla kasteiseksi	V	+?
suolláduhttit	syyttää varkaaksi	V	+?
suollágahttit	syyttää varkaaksi	V	+?
suollit	salaa	Adv	Adv
suolohas	saarelainen	N	A
suomastit	puhua suomea	V	+?
suonjan	pujahtelija (erit. poronvasasta)	N	+?
suonjardit	säteillä	V	V
suonti	iso ja kömpelö nainen	N	+?
suonttas	kömpelö ja isokokoinen (erit. ei-saamelaisista naisista)	A	+?
Suopma	Suomi	N	N
suopmilaš	suomalainen	N	A
suorat	haarakeppi	N	+?
suordna	saarni	N	N
suorganit	säikähtää& yllättyä& säikähtää& yllättyä	V	+?
suorggahit	säikäyttää& yllättää& säikäyttää& yllättää	V	+?
suorggatlaš	kauhistuttava	A	A
suorit	haarakeppi	N	+?
šuorja	jättiläishai	N	N
suorpmahat	sormikas	N	+?
suorranit	haarautua	V	V
suorsá	sorsa	N	N
suorti	(vaatteisiin ja karjan karvoihin tarttuva) loka	N	+?
suortudit	ryvettää (lokaan)	V	+?
suortut	ryvettyä (lokaan)	V	+?
suosas	riitteinen	A	A
suoskkahat	purus	N	+?
suoskkahit	antaa pureskeltavaksi& pureskella ruokaa lapselle& antaa pureskeltavaksi& pureskella ruokaa lapselle	V	+?
suoskkastit	puraista (ja syödä)& pureksia (vähän)& puraista (ja syödä)& pureksia (vähän)	V	+?
suossadit	jäätää riitteeseen (pakkasesta)	V	+?
suossa	riite	N	+?
suossat	mennä riitteeseen	V	+?
suostat	laiminlyödä	V	V
suosttas	laho (ytimestään: puunrungosta)	A	+?
suosttas	leväperäinen	A	A
suostut	lahota (ytimeltään: puusta)	V	+?
suovdi	kidus& (ihmisen) kita& kidus& (ihmisen) kita	N	+?
šuovka	jouhi	N	N
suovŋŋis	poron kaivukuoppa (lumessa)	N	+?
suovrras	törkyinen	A	A
suovrut	tulla törkyiseksi	V	+?
suovvadit	savuttaa	V	V
suovvádit	suovata (heinää)	V	+?
suovvi	(heinä)suova	N	+?
surgehit	säikäyttää& yllättää& säikäyttää& yllättää	V	+?
surggohallat	surkutella	V	V
surolaš	surullinen	A	A
sustilit	nuuhkaista	V	V
sustit	nuuhkia	V	V
suttadit	sulaa (vähin erin tai sieltä täältä)	V	+?
suttis	sula	A	A
suttolaš	syntinen	A	A& N
suttoulli	vedenpaisumus	N	N
suttuheapme	synnitön	A	+?
suttuhisvuohta	synnittömyys	N	N
suttuhuvvat	tulla synnittömäksi	V	+?
suvččageapmi	paleltuma	N	N
suvččagit	paleltua (kehon osasta)	V	+?
suvddá	sooda	N	N
suvdi	kantava (veneestä)	A|N	+?
suvdil	kantava (veneestä)	A	+?
suvjadit	vyyhdetä (siimaa haarun ympärille)	V	+?
suvja	(siiman vyyhteämiseen käytetty) haaru (siimoineen)	N	+?
suvri	hapanhera& happo& hapanhera& happo	N	+?
suvrragit	hapettua	V	V
suvrriidit	maistua happamalta	V	+?
suvrrus	suurus	N	N
suvrrustit	suurustaa	V	V
suvvolastit	muodostua au(d)erta	V	+?
suvvol	auder	N	+?
taga	ilman	Adv	Adv& Po
táhka	ote& rupeama& ote& rupeama	N	+?
táhkka	kiitos	+?	N
táhpa	tappio	N	N
tálga	tali	N	N
teahtásmit	tiivistyä	+?	V
teahtis	tiivis	A	A
teaipa	teippi	N	N
telegraferet	sähköttää	V	V
tempel	temppeli	N	N
teret	keuhkotauti	V|N	N
testamentet	testamentata	V	V
tieltá	teltta	N	N
tiggedit	tinkiä (pitkään)	V	+?
tigget	tinkiä	V	V
tiibmet	soittaa (kelloa)	V	+?
tiibmu	kello& tunti& kello& tunti	N	+?
tiida	taika& taikausko& taika& taikausko	N	+?
tiidii	taikauskoinen	+?	A
tilla	asianlaita	Adv|N	N
tinestus	ansiot	N	+?
toardna	torni	N	N
toassa	rasia	N	N
toavva	touvi	N	N
tohppa	sokeritoppa	N	N
treagga	harkki& naara& harkki& naara	N	+?
tregget	ankkuroida (vene)& naarata& ankkuroida (vene)& naarata	V	+?
triivet	harjoittaa& tilkitä& harjoittaa& tilkitä	V	+?
trillet	kärrätä	V	V
truvdnu	valtaistuin	N	N
tullet	tullata	V	V
tuollár	tullimies	N	N
tuollu	tulli	N	N
turkalaš	turkkilainen	A	A
tuvdni	tunkio	N	N
uđas	(lumi)vyöry& ryöppy& (lumi)vyöry& ryöppy	N	+?
uddu	haavauma& arpi& (luu)kyhmy& haavauma& arpi& (luu)kyhmy& haavauma& arpi& (luu)kyhmy	N	+?
uddui	arpinen& kyhmyinen& arpinen& kyhmyinen	+?	+?
udjosaddat	ujostella	V	V
udjosit	ujostua	V	+?
udju	ujo	A	A
udjuvuohta	ujous	N	N
ufiddinuššat	olla tuhma (lapsista)	V	+?
uhcagaccaš	pikkuvarvas	N	+?
uhcagielagaš	puhevikainen	A	A
uhcáhastit	ääntää jotkin äänteet pienen lapsen tavoin& tekeytyä pikkulapseksi& hemmotella& ääntää jotkin äänteet pienen lapsen tavoin& tekeytyä pikkulapseksi& hemmotella& ääntää jotkin äänteet pienen lapsen tavoin& tekeytyä pikkulapseksi& hemmotella	V	+?
uhcamánná	pikkulapsi	N	N
uhcimusge	vähintäinkin	Adv	+?
uhcimus	pienin	Adv	+?
uhcimus	vähiten	Adv	Adv
uhcit	vähemmän	Adv	Adv
uheavás	tarpeettomasti	Adv	Adv
uhkidit	uhata (jkta jllak)	V	+?
uhkki	uhka	N	N
uhkku	ukko	N	N
uidni	kaino	A	A
uksu	ruijanpaltaan pää (ilman alaleukaa)	N	+?
uldu	ruijanpaltaan maha	N	+?
ullui	villainen (jossa on runsaasti villaa)	+?	+?
umáhttu	taitamaton	A	+?
uminddet	alaikäinen	A	A& N
unnabummeš	kangastukki (kangaspuissa)	N	+?
unnádallat	pienennellä& yrittää pienentää& pienennellä& yrittää pienentää	V	+?
unnagaccaš	pikkuvarvas	N	+?
unnáhastit	ääntää jotkin äänteet pienen lapsen tavoin& tekeytyä pikkulapseksi& hemmotella& ääntää jotkin äänteet pienen lapsen tavoin& tekeytyä pikkulapseksi& hemmotella& ääntää jotkin äänteet pienen lapsen tavoin& tekeytyä pikkulapseksi& hemmotella	V	+?
unnamánná	pikkulapsi	N	N
unnimusge	vähintäinkin	+?	+?
unnit	vähemmän	Adv	Adv
upmolcizáš	urpiainen	N	N
uradas	tuholainen	N	N
urbil	urpiainen	N	N
urbi	silmu	N	N
urddistit	uurtaa (erit. halkaistavaa hirttä)	V	+?
urdit	uurtaa (erit. halkaistavaa hirttä)	V	+?
urká-	urkádeahkki: hauislihas (porolla)	+?	+?
uskealla	petkutus& (pl.) ilkivalta& petkutus& (pl.) ilkivalta	N	+?
usket	uhata (tr.)	V	+?
uski	ovenseutu (kodan sisäpuolella)	N	+?
ussel	kurja	A	A
ustibaš	pl. ustibaččat: ystävykset	N	+?
ustitmeahttun	epäystävällinen	A	A
uštit	uistella	V	V
uštta	uistinsiima (uistimineen)	N	+?
uvdnu	pajunkissa	N	N
uvjái	untuvainen	A	A
uvjet	kerätä untuvia& vuorata untuvilla& kerätä untuvia& vuorata untuvilla	V	+?
uvjjaheapme	untuvaton& vähäuntuvainen& untuvaton& vähäuntuvainen	A	+?
uvlu	kimalainen	N	N
uvrrus	tasakertahirsi	N	+?
uvssohat	ovenseutu (kodan ulkopuolella)	N	+?
uvsso-	ovi- (yhdyssanoissa)	+?	+?
vabaidit	väpättää	V	V
váccahat	vitsas (sitomiseen)	N	+?
vácceš	siveetön	A	+?
váddudit	vaikeuttaa	V	V
váddut	vaikeutua	V	V
vádjit	vaille	Adv|A|N	Adv& Po
vádjolus	vaellus	N	N
vadnil	helposti venyvä tai venytettävä	A	+?
vadni	venyvä	A	A
váđot	mesimarja	N	N
vahágahttit	vahingoittaa	V	V
vaháguvvat	vahingoittua	V	V
váhkar	kuopus	N	N
váhkkái	jossa on paljon poukamia (veneitä varten)	+?	+?
vahkkosaš	viikon vanha& viikottainen& -viikkoinen& viikon vanha& viikottainen& -viikkoinen& viikon vanha& viikottainen& -viikkoinen	A	+?
váhpi	lapsivesi	N	N
váhttar	vesivaaka	N	+?
váibamassii	väsyksiin (asti)	Adv	+?
váibbadit	väsyä (vähin erin& usein tai useista ihmisistä)& väsyä (vähin erin& usein tai useista ihmisistä)	V	+?
váibbat	vaipukka (uupunut eläin)	N	+?
váibmogirddáhat	sydämentykytys	N	N
váibmosuotna	valtimo	N	N
váidalus	valitus	N	N
váidda	valitus	N	N
váidi	ilmiantaja	N	N
váidnahádja	kalmanhaju	N	N
váigačáhci	vainajan suusta otettu sylki	N	+?
váikko	vaikka	CS	CC
váikkuhit	vaikuttaa	V	V
váillil	vajaa(na)	Adv	+?
váimmoskit	sydämistyä& rohkaistua& sydämistyä& rohkaistua	V	+?
váimmus	(puu)ydin& (atomin-) ydin jne.& (puu)ydin& (atomin-) ydin jne.	N	+?
váipe	(hevos)loimi	N	+?
váivašuvvat	vaivaantua& vaivautua& työlästyä& vaivaantua& vaivautua& työlästyä& vaivaantua& vaivautua& työlästyä	V	+?
vajadit	leikellä (kangasta tai nahkaa)	V	+?
vajálduvvalas	helposti unohtuva	+?	+?
vajálduvvat	unohtua	V	V
vajuldit	raaputtaa (nahka puhtaaksi tai tarpeeksi ohueksi)	V	+?
vájuldit	vaeltaa	V	V
vákšát	tähyillä (kaula pitkällä)	V	+?
váksi	vaaksa (peukalon tyvestä etusormen kärkeen)& vanttuussa tai rukkasessa peukalon tyvestä kärkeen ulottuva osa& vaaksa (peukalon tyvestä etusormen kärkeen)& vanttuussa tai rukkasessa peukalon tyvestä kärkeen ulottuva osa	N	+?
valas	merirautu	N	+?
válbi	(epämiellyttävä) sattumus	N	+?
válbmanit	valmistua	V	V
válbmet	valmistaa	V	V
válbor	vappu	N	N
váldái	vallanhimoinen& omavaltainen& vallanhimoinen& omavaltainen	+?	+?
váldáladdat	nappailla& napsia& ottaa (väkijuomaa tms. napakasti)& nappailla& napsia& ottaa (väkijuomaa tms. napakasti)& nappailla& napsia& ottaa (väkijuomaa tms. napakasti)	V	+?
válddihit	otattaa	V	V
